id	text	misogynous	misogyny_category	target
199	These feminists are just too-ugly sluts who want attention!*	1	stereotype	passive
200	The more WOMEN in the workplace means LESS WOMEN IN THE KITCHEN. Like and retweet if you see this as a big problem #ilovefood #homecookedm#	1	stereotype	passive
201	I have never once met a woman whose mouth wasn't totally full of BULLSHIT. Stupid bitches!!	1	discredit	passive
202	The Olympics was fun, except for the fact that I would never watch a woman play sports.@	1	stereotype	passive
205	I am PROUD to be an #MRA. If stupid feminists can complain I should be able to complain just as loud. It's only fair.#	1	discredit	passive
207	Women want to be equal so now they don't shave their legs??? Gross*	1	discredit	passive
209	@trav_mitch @femfreq is this to do with crazy bitch Hillary or no?	1	discredit	active
210	@DaniellaMicaela YOU FVCKING CUNT BITCH!!! APOLOGIZE! @CNN @cnnbrk @CNNPolitics	1	sexual_harassment	active
211	@AmericansRDumb1 dont u have anything better to do u cunt bitch	1	discredit	active
212	@spinnershells fuck you, you racist bitch, and cunt piece of shit, glad we know now where your entire family stands on social issues	1	discredit	active
213	Black Bitch Gets Cock Shoved In Her Waiting Cunt https://t.co/95qDBC1LD4	1	sexual_harassment	passive
214	@MorinBois I know fucker bitch i rode with you one time remember cunt whore? Never again will i fuck around with the fuck around 😂😂	1	discredit	active
215	Calling someone a bitch and a cunt is not the way to do it.	1	sexual_harassment	passive
216	@MSaveryWhiteway @MoiraSSnews @HPEschools Fucking cunt where's my belt bitch suck my dick and make me cum on your mouth	1	sexual_harassment	passive
217	@eileenmdm @ldontgotanyhoes I hate you you fucking cunt bitch how fucking dare you I hope you wake up with mad cott… https://t.co/XXb8oWQuv9	1	discredit	active
218	@anne_theriault @hels Shut up cunt bitch whore	1	discredit	active
219	@BasedLaRock Bitch is a ugly 3rd world kunt wit no ass and flopper jugs. Hate her	1	discredit	active
220	niggas think bitches supposed to suck their lil ass dick and not give a bitch head too, like that's not how it works whore !!	1	sexual_harassment	passive
221	@BarbeeDani You ain’t shit bitch shut your whore mouth	1	discredit	active
222	You mother fucking piece of trash stupid fucking idiot hoe i hope you fucking die in hell son of a father fucking fuck bitch whore you fucki	1	sexual_harassment	active
223	What a suprise my Ex Wife is being a Whore for haloween wait until the kids turn 18 karen FUCK YO.u Whore Bitch You Lying Steali	1	discredit	active
224	@chelseahandler @realDonaldTrump How about that liberal whore Chelsea Handler? That bitch definitely sounds ignorant!	1	discredit	active
225	@wutangela then you bitch m complain when you get them haha stop being a little bitch and just accept what you are, you filthy whore 😎	1	discredit	active
226	I just need women who know how to treat a bottom beta bitch girl like me right. That aren't afraid to take what they want.	1	sexual_harassment	passive
227	All women have the incredible ability to determine if another woman is a bitch based solely on her shoes.	1	stereotype	passive
228	🤤I need a bitch thats gon pay all my bills I don’t like broke women 🤢🚮😷🚮🤧	1	sexual_harassment	passive
229	Im not for abusing women but i swear to odin this bitch is about to have a permanant imprint of my fist in her face	1	sexual_harassment	active
230	@RealJamesWoods She, Jane Fonda the traitorous bitch, is one of the most despicable women to ever walk the face of… https://t.co/9EZgATUSOA	1	discredit	active
231	I never understood the big deal about making a guy a plate at a get -together/cookout. Shit after the children and women eat im in that bitch	1	sexual_harassment	passive
232	@ABC Women dont use their pussy to manipulate men... Women are saints .. cock riders bitches but saints ... LOLLLL	1	discredit	passive
233	@DaniellaMicaela It’s called polio. I hate calling women this word but your a ‘bitch’ in this instance.	1	discredit	active
234	This cunt with a dick @SymoneDSanders is a perpetual race whore who wouldn't know an historical fact if her pathetic life depended on it 😉🖕✊	1	discredit	active
235	literally you keep minseok’s name out of your dirty whore mouth you can shit talk me all you want you cunt but leave him alone.	1	discredit	active
236	This fat bitch be really trying it when it comes to my kids i just wanna drag that fat whore	1	sexual_harassment	active
237	so my Chloe don't want to see me win she unfollowed because I made a post i HIT 100 FOLLOWERS and then she unfollowed me bitch fuck u whore	1	discredit	active
238	LMFAO lil biddy whores prison rape bitch im whose bitch	1	sexual_harassment	passive
239	keyshia ka'whore is a bird. gucci shoulda gave that bitch back to yo gotti	1	discredit	active
240	@vivivict_ Bitch show me attention too you whore	1	discredit	active
241	We've been fucking this whore, Mother earth for awhile, She's a filthy bitch anyway, Rotting her from the inside out, We are at our end.	1	discredit	active
242	@_ladyRussia 'Oh said a bitch who lost everything. You whore.'	1	discredit	active
243	Lol omg you’re such a whore. 😂😂😂 “Who does that Sara?” Blah blah bitch look at yourself😂😂🤘🏼	1	discredit	active
244	listen here dumb fucker you dont call rania “whore” and youre the only crazy bitch here😘 deactivate pls bc nobody c… https://t.co/FySbYz007a	1	discredit	active
245	A man, knows the difference between a woman and a lil ol whore bitch #100	1	discredit	passive
246	Hollywood women would be whores and crack addicts. When caught, they were raped. That is their story. https://t.co/F9ZVGUTnB6	1	discredit	passive
247	Alyssa Milano, a brainless whore l, isn't empower women in any way. Women in science mathematics engineering and medicine are actually .	1	discredit	active
248	@laurenduca @LibyaLiberty Women are sacred as mothers and wives. Everyone else is a degenerate whore who gets what… https://t.co/mdOzUDVKGT	1	discredit	passive
249	@khanumarfa A tweet about 'rape jihaad'. Since non -muslim women without hijab are whores, they must be raped and be… https://t.co/bZZbvwaHAi	1	sexual_harassment	passive
250	Literally just got hit by a car bc this dumb blonde bitch was on her phone and she didn't even stop after HAHAHAHA what a cunt	1	discredit	active
251	I WILL NEVER UNDERSTAND WHY PEOPLE CAN’T JUST FUCKING MIND THEIR OWN GODDAMN BUSINESS WHY YOU ALL UP IN MY BARBECUE BITCH FOH YA CUNT	1	sexual_harassment	passive
252	Haven't talked to my kids in days because my bitch ass #babymomma is a cunt! #meetoo	1	sexual_harassment	passive
253	no you're just a dumb bitch that obviously doesn't know how to throw underhand. God you're a cunt https://t.co/m9c5xOg04V	1	discredit	active
254	@joy4lly2u block me bitch I LOVE TRUMP U IGNORANT CUNT!!!!	1	discredit	active
255	'Keisha Phillips is a dumb cunt dyke bitch hoe. Waste of a pick. Stupid idiot.' -Coach Q	1	discredit	active
256	'Sable is a Whore and a Cunt!' - Sunny Destroys Sable: https://t.co/0xXVJF3YoH via @YouTube	1	discredit	active
257	@DunneHavocMark @Beauty__Shot Oh nvm i didn't know omega & okada was in a pic together bitch fuck you slutbag whore cunt	1	discredit	active
258	the most worthless whore and bastard CUNT on https://t.co/uLqeF67erG.	1	discredit	active
259	This bitch Cunt Whore Slut every type of name deserves to fucking die u Wildin for this https://t.co/x6W2qumuQq	1	discredit	active
260	Teen Whore Lily Rader Gets Nailed And Creamed Sexy blonde loves rubbign her juicy cunt	1	sexual_harassment	passive
261	I saw a women driving whilst speaking on the phone I cursed that cunt :)	1	discredit	active
262	@Gregco5088 This cunt? Probably blames women for getting raped	1	sexual_harassment	passive
263	@FrotoBag1 @artiequitter Most annoying cunt ever and I never call women that.	1	discredit	active
264	Normal woman degenerates into a cunt. @din_stygge_faen @MongAliWha @pritch1963 @rightwhitesock @S4vi0urs https://t.co/66esGZ5JQ2	1	discredit	passive
265	@sagarikaghose This woman is a cunt , when we cut trees that’s ignorant and selfish too, every family buying 2 -3 c… https://t.co/ROtI7AnTPe	1	discredit	active
266	You are a major Prick! No woman should ever be made to feel scared like that. But fuck you... you didn't ruin my day! Cunt!	1	sexual_harassment	passive
267	@On_The_Hook @MichellePiper18 Woman she is a cunt	1	discredit	active
268	Why do people still like Chris Brown? He’s a fucking woman beating cunt	1	sexual_harassment	passive
269	@heatherglind Hey look its the woman who wants to get famous for crying about an ass slap. You truly are a worthless cunt.	1	discredit	active
270	Terrible cunt sticking up for tory sex pests she has no shame lower than a snakes belly vermin woman #marr	1	discredit	active
271	@somalipjm She isn’t racist unlike your somlalia bitch friend and you always causing shit.. bye slut	1	discredit	active
272	@Millie__Weaver Fuck you slut bitch hoe! He aint giving a shit what you think	1	discredit	active
273	Twinkle twinkle little slut, you've got just what this BITCH wants!  you & will have lots of fun, you'll kiss my neck & lick My bum! #findom	1	sexual_harassment	active
